,Quote,Author,Main Tag,Other Tags
2335,"“... the mind was designed not to defend what we want, but to discover what is ultimately true, which should shape our wants and satisfy them more deeply with God. The purpose of the mind is not to rationalize subjective preferences, but to recognize objective reality and to help the heart revel in God.”","― John Piper, The Pleasures of God: Meditations on God's Delight in Being God",truth,"[' faith, god, intellect, mind, objectivity, truth']"
2336,“Today wouldn't have happened if histories weren't falsified.”,"― Toba Beta, Master of Stupidity",truth,"[' engineered, falsified, histories, knowledge, life, people, truth']"
2337,"“In any government, interests precede truth.”","― Toba Beta, My Ancestor Was an Ancient Astronaut",truth,"[' government, interests, precede, truth']"
2338,“I know certain truths about life.”,"― Dana Reinhardt, How to Build a House",truth,"[' inspirational, knowledge, life, truth']"
2339,"“Sometimes before your luck can be good,someone else's has to be bad”","― Maisie Mosco, Almonds and Raisins",truth,[' truth']
2340,"“If there is to be reconciliation, first there must be truth.”","― Timothy B. Tyson, Blood Done Sign My Name: A True Story",truth,"[' reconciliation, truth']"
2341,“...at last I understood that writing was this: an impulse to share with other people a feeling or truth that I myself had.”,"― Brenda Ueland, If You Want to Write: A Book about Art, Independence and Spirit",truth,"[' truth, writing']"
2342,“The sole philosophy open to those who doubt the possibility of truth is absolute silence -- even mental.”,"― Jacques Maritain, An Introduction to Philosophy",truth,"[' p128, philosophy, relativism, truth']"
2343,"“Sometimes, the things They say, the laws They make, the way the world spins doesn't make any sense at all...",,truth,"[' courage, invention, truth']"
2344,"“Like all of us sinners, General Betrishchev was endowed with many virtues and many defects. Both the one and the other were scattered through him in a sort of picturesque disorder. Self-sacrifice, magnanimity in decisive moments, courage, intelligence--and with all that, a generous mixture of self-love, ambition, vanity, petty personal ticklishness, and a good many of those things which a man simply cannot do without.”","― Nikolai Gogol, Dead Souls",truth,[' truth']
2345,"“Until modern times, we focused a great deal of the best of our thought upon rituals of return to the human condition. Seeking enlightenment or the Promised Land or the way home, a man would go or be forced to go into the wilderness, measure himself against the Creation, recognize finally his true place within it, and thus be saved both from pride and from despair. Seeing himself as a tiny member of a world he cannot comprehend or master or in any final sense possess, he cannot possibly think of himself as a god. And by the same token, since he shares in, depends upon, and is graced by all of which he is a part, neither can he become a fiend; he cannot descend into the final despair of destructiveness. Returning from the wilderness, he becomes a restorer of order, a preserver. He sees the truth, recognizes his true heir, honors his forebears and his heritage, and gives his blessing to his successors. He embodies the passing of human time, living and dying within the human limits of grief and joy.","(pg.95, ""The Body and the Earth"")”",truth,"[' humanity, journey, literature, questions, truth']"
2346,"“I'll never understand humans."" Poison sighed. ""All of you seem to welcome our lies, but you never like it when we tell the truth.”","― Stephanie Garber, Once Upon a Broken Heart",truth,"[' lies, ouabh, truth']"
2347,"“At beyond continent of reality,",there are oceans of ideas.”,truth,"[' beyond, idea, ideas, inspirational, ocean, physical, reality, truth']"
