,Quote,Author,Main Tag,Other Tags
521,"“Though sorrow may impede my heart,",It is of great love to have known you.”,romance,"[' heartache, heartfelt, loss, love, romance, sorrow']"
522,“Why be alone when we can be together baby,You can make my life worthwhile,romance,"[' couples, love, relationships, romance, smile, song, together']"
523,"“And just then Damon stepped out of the coat closet, and at the same time Aunt Maggie tripped him neatly and said, “Bathroom door beside you,” and picked up a vase and hit the rising Damon over the head with it. Hard.”","― L.J. Smith, Nightfall",romance,"[' damon, elena, fiction, paranormal, romance, vampire']"
524,"“Let go,"" he advised me, and I loosened my grip on his hands. ""No, not of me,"" he said, smiling. ""You can hold on to me as long as you want. Let go of the pain, Sookie. Let go. You need to drift away.""","It was the first time I had relinquished my will to someone else. As I looked at him, it became easy, and I retreated from the suffering and uncertainty of this strange place.”",romance,"[' romance, sookie-stackhouse, vampire']"
525,“The power shall always belong to those who give their lives to the city.”,"― Sarah J. Maas, House of Earth and Blood",romance,"[' adult, bryce-quinlan, crescent-city, fantasy, hunt-athalar, romance']"
526,"“Runaways are romantic. The girls are waiflike with dyed ratty hair and baggy pants. They usually own a stray dog of the mutt variety and drag it along by a rope, plopping down in front of storefronts to beg for money from passersby. They're a mess. It is likely they'll charm you, make you think you're their best friend and savior only to end up using you and then they'll disappear. That's why they're romantic. They're there and then they're gone. Romance is always about people appearing in a flash out of nothing or people who are there and then suddenly are not. A magic trick.”","― Bett Williams, Girl Walking Backwards",romance,"[' romance, runaways']"
527,"“Take care. If you do not speak – I shall claim you as my own in some strange presumptuous way. Send me away at once, if I must go; – Margaret! –”","― Elizabeth Gaskell, North and South",romance,"[' love, romance']"
528,"“Welcome to Paris, Anna. I'm glad you've come.”","― Stephanie Perkins, Anna and the French Kiss",romance,"[' anna-and-the-french-kiss, british-boys, etienne-st-clair, romance, swoon']"
529,“I’ll affect you slowly,as if you were having a picnic in a dream.,romance,"[' conquer, dream, love, picnic, rain, romance']"
530,"“Although this scouting gig sounded like a financial hit, it made Nonie extremely nervous. She feared someone slip--that someone being Buggy--and others would find out Nonie's secret. And if the wrong person caught wind that she could see and speak to the dead, word would spread through Clay Point like ants at a picnic.”","― Deborah Leblanc, Toe to Toe",romance,"[' dark-humor, love, love-story, paranormal, romance, supernatural, superstition, young-adult']"
531,"“You tread lightly through life, but you leave deep footprints that are hard for other people to fill.”","― Josie Silver, One Day in December",romance,"[' dramedy, friendship, loss, regret, romance']"
532,"“I don't have a lot of domestic instincts,"" Ranger said to me, his attention fixing on the unidentifiable glob in my hair, ""but I have a real strong urge to take you home and hose you down.""","I went dry mouth. Connie bit into her lower lip, and Lula fanned herself with a file.”",romance,"[' humor, ranger, romance']"
533,"“I think back to what Landon said about heartbreak, that if you don’t love the person, they can’t break your heart. Hardin repeatedly breaks my heart, even when I don’t think there are any more pieces to break.",And I love him. I love Hardin.”,romance,"[' college, new-adult, romance']"
534,"“You can burn brighter than they can, if you have too.”","― M. R. Noble, Karolina Dalca, Dark Eyes",romance,"[' avenger, dark-magic, falsely-accused, fantasy, magical-world, mythical-creatures, on-the-run, romance, underworld, vampires']"
535,“You think I wanted to fall for you? I stayed away from you! I gave him the chance to be with you! But there’s another part of me that asks what if? What if you’re not supposed to be with Ren? What if you were supposed to be the answer to my prayers? Not his!”,― Colleen Houck,romance,"[' love, romance']"
536,“He understood how dangerous oaths could be. But Leo didn't care.,"""I'm coming back for you, Calypso,"" he said to the night wind. ""I swear it on the River Styx.”",romance,"[' romance, sweet']"
537,"“I sighed softly and basked in the barrage of Ren's kisses- drowning kisses, soft kisses, sultry kisses, kisses that lasted a mere second, and kisses that lasted an eternity. It was easy to believe that my warrior-angel had captured me and had flown me up to heaven. A deep rumble echoed in his chest.","I pulled back, laughing. ""Are you growling at me?""",romance,"[' kelsey, ren, romance']"
538,"“And I wake up happy, baby, because I possess beauty and I own that beauty in all the forms it can take and the least important of those are physical.”","― Kristen Ashley, Knight",romance,"[' alpha, beauty, knight, love, possessive, romance']"
539,"“And Meredith and Bonnie, who's going to bend some spoons for us next. I'm going to throw you down a rope… that is, unless Bonnie can levitate you out.”","― L.J. Smith, The Struggle",romance,"[' diaries, elena, estefan, matt, romance, vampire, vampire-diaries-ii']"
540,“Phones are distracting. The internet is distracting.The way he looked at you? He wasn't distracted. He was consumed.”,"― Stephanie Perkins, Isla and the Happily Ever After",romance,"[' consumed, distractions, love, romance']"
541,"“And I do. I do wonder, I think about it all the time. What it would be like to kill myself. Because I never really know, I still can't tell the difference, I'm never quite certain whether or not I'm actually alive. I sit here every single day. Run, I said to myself. Run until your lungs collapse, until the wind whips and snaps at your tattered clothes, until you're a blur that blends into the background.",,romance,"[' escaping, insanity, juliette, prose, romance, run, suicide, wayne']"
