,Quote,Author,Main Tag,Other Tags
778,"“When there is nothing left to give somone in need, we give them what we do have. We give them Divine Love, faith, and friendship. This is always enough to see anyone through anything. This, my friends, is how we save the world. (pg.99 of A Journey In to Divine Love)”","― C.Michelle Gonzalez, A Journey in to Divine Love: Live, Laugh, Love, Meditate",inspiration,"[' inspirational-quotes, spiritual-life']"
779,"“You fall because you are human, and rise because you are divine.”",― Matshona Dhliwayo,inspiration,"[' divine-quotes, divinity-quotes, human-quotes, inspirational-quotes, matshona-dhliwayo-quotes, rise-quotes, spiritual-quotes, spirituality-quotes, wisdom-quotes, wise-quotes']"
780,"“I know from the bottom of my heart and with all of it, that it doesn't matter if at the end of your life you can say that you shared the best of yourself with the rest of the world and it doesn't matter if everyone in the world remembers you as wonderful; but what matters is if at the end of your life you can say that you shared the best of yourself with the handful of people who are around you, that you gave the wonderful in you, to the people you love and who love you. Happiness never has and never will come from fame.”",― C. JoyBell C.,inspiration,"[' advice, fame, happiness, inspirational-life, inspirational-love, inspirational-quotes, wisdom-quotes']"
781,"“No writing is wasted. Did you know that sourdough from San Francisco is leavened partly by a bacteria called lactobacillus sanfrancisensis? It is native to the soil there, and does not do well elsewhere. But any kitchen can become an ecosystem. If you bake a lot, your kitchen will become a happy home to wild yeasts, and all your bread will taste better. Even a failed loaf is not wasted. Likewise, cheese makers wash the dairy floor with whey. Tomato gardeners compost with rotten tomatoes. No writing is wasted: the words you can't put in your book can wash the floor, live in the soil, lurk around in the air. They will make the next words better.”",― Erin Bow,inspiration,"[' books, inspiration, inspirational, inspirational-quotes, writers, writing, writing-advice, writing-process']"
782,"“When angels visit us, we do not hear the rustle of wings, nor feel the feathery touch of the breast of a dove; but we know their presence by the love they create in our hearts.”","― Mary Baker Eddy, Poems by Mary Baker Eddy",inspiration,"[' angels, inspirational-quotes']"
783,“One of the most beneficial and valuable gifts we can give to ourselves in this life: is allowing ourselves to be surprised! It is okay if life surprises you. Its a good thing!”,― C. JoyBell C.,inspiration,"[' inspirational-life, inspirational-quotes, letting-go, life-and-living, surprised-by-life, surprises']"
784,"“If two people are meant for one another, that doesn't mean that they have to rush and be together right away. Real love takes time to grow, just like how it takes time to grow from children to adults.”","― Jonathan Anthony Burkett, Friends 2 Lovers: The Unthinkable",inspiration,"[' inspirational-quotes, life, love']"
785,“You can't understand where someone's going unless you understand where they've been.”,― Jerry B. Jenkins,inspiration,[' inspirational-quotes']
786,"“Instead of worrying about what you cannot control, shift your energy to what you can create.”",― Roy Bennett,inspiration,"[' authentic-living, authentic-self, authenticity, being-positive, creation, energy, inspiration, inspirational, inspirational-quotes, life, life-quotes, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, worry, worrying']"
787,"“Embrace being perfectly imperfect. Learn from your mistakes and forgive yourself, you’ll be happier.”",― Roy Bennett,inspiration,"[' authentic-living, authentic-self, authenticity, confidence, flaws, forgive, forgiveness, happiness, happiness-quotes, happy, inspiration, inspirational, inspirational-quotes, learning, life, life-lessons, life-quotes, mistakes, perfectionism']"
